Hospital,Patient Count,Total Billing
Evans-Lowe,1,17560.572254029288
Boyd-Boyd,1,25036.942971344775
"Smith Arellano, and Stokes",1,27112.529212896716
and Sons Ward,3,82668.60622905497
Ltd Tanner,1,34875.928126050865
Mason-Vasquez,1,40549.5000826802
Sawyer-Lin,1,22586.95952708039
"and Arellano, Gill Jackson",1,36523.15915444601
"Lucas, and Hubbard Deleon",1,36241.12759076122
"and Salazar Thompson, Gray",1,36810.29097290626
"Powell, and Khan Olson",1,9665.079577962708
"Cook, Small Monroe and",1,14673.676748056736
Sosa-Macias,2,93694.76705556511
Inc Williamson,5,197658.98564849648
Webster-Alvarez,1,8756.130996947479
"and Gibson Grant Lee,",1,45016.40971698574
Carey-Stone,1,38545.33041696331
"Graham and White, Smith",1,1206.2139422620917
Garrison LLC,1,28259.356850220403
"Martinez, Mcfarland Lee and",1,50314.93735645986
"Banks Flowers Weaver, and",2,66422.85285871118
Vang-Novak,1,46462.11036183875
"and Thomas Dawson, Riley",1,19124.399531483334
"Johnston, Shepherd Mckinney and",1,27424.309495627447
"Simpson Frank, Ortiz and",1,2390.0333422048916
Nelson-Thomas,1,43631.97960085716
Smith-Ward,3,40267.04600697667
PLC Little,1,28362.912603588808
Miller-Ramirez,1,9153.73990762268
Gonzalez-Mcbride,1,3557.0433387088433
"Wagner Krueger Lopez, and",1,48007.951019338034
"Ayala, and Rangel Costa",1,46484.247848932566
Fuller PLC,1,14889.791056136039
Combs-Bell,1,10097.15135120741
"and Griffith Pratt, Simpson",1,7349.45368825443
"Garcia, Wallace Haley and",1,25476.377584177906
"Acevedo, Martin and Price",1,44587.345383007385
Gonzalez-Edwards,1,38968.16683802605
Sons Harrison and,3,80078.49981922828
"Wheeler Wright, and Perez",1,22232.92852560733
Lindsey-Harrington,1,38174.50501315266
Ellis-Bond,1,6781.697616012185
Sons Estes and,1,5157.081978416642
Barrett-Jones,1,29780.990475940413
Johnson-Mullen,2,7266.506126289692
Grant-Lee,2,61962.093930972595
"Sullivan Tran and Matthews,",1,15293.100012382112
Hayes-Smith,2,79821.31370685154
English-Bruce,1,48550.257849529386
"and Fuller Tucker Martinez,",1,36749.21478579315
Heath-Miller,1,1945.532070572139
Miller-Crawford,1,33658.105857323346
"Cole, Chapman Bradley and",1,6133.5163643058895
Stanley and Sons,1,14824.934793734828
Harris-Ayers,2,56745.566961749886
"Lucas Stevens, and Hurst",1,6738.281049814956
"Jackson, Craig Johnson and",1,44587.01673983874
"Hicks Flores and Parker,",1,33378.04308183601
"Roberts Ramirez Mcgee, and",1,30692.15596537665
Group Atkins,3,77674.87893118685
"and Stout Armstrong, Jones",1,45165.08665868176
"Lopez and Sheppard, Valencia",1,35842.88174002363
"Sims and Cook Walker,",1,11679.369717850526
"and Harvey Reynolds Brooks,",1,11190.184131917837
Bailey-Herman,1,9379.010120093033
Sons Clark and,3,100278.72399904122
Valencia-Moreno,1,38090.164200065265
Berger-Schaefer,1,29465.537340177343
Reeves-Wallace,1,21507.809933807133
"Gomez, Miller Johnson and",1,38429.57811812973
"and Gomez, Williams Walker",1,19724.186723145915
Acevedo-Lawson,1,30895.505300143963
"and Carrillo Matthews, Rodriguez",1,4752.924848574433
Ltd Santiago,1,7012.1640483722285
Holmes PLC,1,42156.96185303465
Norris-Grant,1,24172.728428660263
"Mathews and Cooper, Johnson",1,32600.46339928829
Lowery-Torres,1,16139.007041132678
Thornton-Roy,1,3616.8984499972694
"Chan Brown, Murphy and",1,25557.73692567947
Pugh-Acevedo,1,51052.55204879012
Chang-Smith,2,12186.823235316047
Clark-Hess,1,25208.31042341631
"Christensen and Becker Alvarez,",1,45760.90861653062
Brown-Anderson,1,26242.64238361259
"Shepard Wallace and Drake,",2,23532.269324946024
Sons Pham and,1,19763.92508481001
Phillips-Fox,1,35310.977876310055
Moses Ltd,1,12533.18333759372
Ellis-King,2,35643.193381453864
"Alexander Patton, Lowery and",1,39252.17654558961
Roberts-Rollins,1,26207.121042943312
Mckenzie-Thompson,1,36079.80711658908
Wiley-Rivera,1,47891.760992302465
Hansen-Lyons,1,15885.149111302453
Mccarthy-Thompson,1,40255.32562794126
"and Cox Lynch, Mcconnell",1,8832.192419460216
"Peterson Burns, Hernandez and",1,46134.838193357784
Barry-Barron,2,40684.35052533865
Fitzpatrick-Holt,1,3145.6354671905015
"Garcia, Wells and Fuentes",1,24830.12521433398
"Ellis, Williams and White",1,34435.27199587354
Sons Ryan and,1,14849.6509602989
Wells-Ryan,1,6210.054794078516
Ltd Rose,2,38773.09186255595
Powell-Bass,1,11273.157593640028
Wise-Russell,1,21492.65579968294
"Ellison and Sharp Mcguire,",1,14705.56223253821
Leonard-Washington,1,31610.300861972366
"Terry, and Young Brady",1,5889.015625092918
"and Molina, Gilmore Sims",1,20567.256269479156
"Smith Cox Brennan, and",2,85748.55732873618
"Bradley Floyd and Maxwell,",1,17809.54887100306
Graves-Dawson,1,46322.82004946643
Wood-Thomas,1,28451.77913642517
Price-Preston,1,37509.97042871956
Harris-Galvan,1,37103.24889926496
Page-Smith,1,39590.04125175745
Sosa PLC,1,37344.96743905233
Thomas-Ortega,1,40181.94014440263
Adams-Benson,1,12865.861245365597
Garcia-Rodriguez,1,19603.35788518666
Chambers-Bell,1,32750.194634520598
"James Watson, Ramirez and",1,8416.775649181938
"Anderson and Medina, Sullivan",1,35041.0309676033
Williams Group,22,637717.4664807393
Sandoval-Bennett,1,24561.7371858171
"Hutchinson, Wilson Daniel and",1,46950.58325788335
Villa Inc,1,16377.5231280267
Martin Ltd,9,197594.37681856772
Group Sparks,1,11425.888500241705
"Fisher Kirk, and Becker",1,34804.88395505898
Cook-Hurst,1,22506.85995251781
Taylor Inc,9,160039.46241257858
"Gonzalez Burch, and Diaz",1,21770.014114050024
"Wilson and Hood, Robinson",1,33437.44845382385
Jackson-Brennan,1,15102.955438436247
Bowman-Young,1,36340.426851139855
Haney-Nielsen,2,12595.373832406407
Boyd-Diaz,1,48947.651851321076
Jones Inc,17,472898.7586554456
Fernandez-Parrish,1,12781.956885363157
Bennett Inc,3,60664.835721033814
Webster-Flores,1,26084.51000342398
"and Cummings Rowe, Mathews",1,35819.243562453055
"and Farmer Jones Phillips,",1,26527.68080065548
and Mccoy Sons,1,38950.29275139085
Smith-Wilson,7,184485.25294338944
"Smith, Williams Wilkins and",1,15118.946441028485
Aguirre-Williams,1,17139.18540098727
Rogers-Moore,2,78376.02555487613
"Brown, Lopez and Stokes",1,31764.76313691662
"Brown, and Foster Gordon",1,21587.305679625104
"Malone Gonzalez, and Ramos",1,10389.024112421872
Bradley Ltd,3,79525.1368813493
PLC Wheeler,1,38374.77664682134
Palmer Inc,6,117813.27035772792
"Young Wilkerson Flores, and",1,39180.520673451305
"Nunez, Hicks and Gibbs",1,24105.363687604393
"Powers Webb Blackwell, and",1,32444.314997172944
Group Walters,1,40375.40258319607
Preston PLC,1,6380.37652405995
Robertson-Glass,1,38707.623502942864
"Hughes and Ramirez, Gordon",2,63128.506866973155
Morrison-Wright,1,26491.475682797416
"Montgomery and Morris Morgan,",1,39355.429582713376
Ltd Garcia,5,116794.11297136456
PLC Oconnor,1,41785.58186939398
Morgan Group,2,51738.612257330045
Odom-Edwards,1,40952.86713330666
"Walters, Johnson Sharp and",1,43011.879960081555
"Watts, and Meyer Baxter",1,26282.319496605232
"and Hudson Merritt Lynch,",1,25616.65543194162
Fletcher-Pierce,1,20427.788079030866
Oneal Group,2,60226.25410000431
"and Patton Patterson, Gonzalez",1,35514.54423051717
"Wong, Lopez and Parsons",1,9719.793548327787
and Sons Parker,4,80801.76444786097
Donaldson-Wilson,1,35949.131158229815
Lewis-Erickson,2,20558.477412642977
"and Johnson Palmer Baker,",1,39821.809154956696
Bauer-Roberts,1,2407.0522764469238
"Flores Flynn Miller, and",1,22464.76488052368
PLC Hughes,4,102250.97320064716
Moody-Ingram,1,48363.65438546354
"and Stafford Johnson, Spears",1,47927.80572339899
Jennings-Larson,1,9743.022371511468
Roberts-Lynch,2,36269.16428069656
Landry LLC,2,54866.70535387321
Haynes-Garcia,1,11354.071943140938
Richards-Garza,1,23061.41865699093
"Hanna and Moore, Weiss",1,26297.86338904995
Lopez-Bryant,1,8837.014735954072
"Jones Conley and Chapman,",1,45676.2494816611
"Edwards, Irwin Lee and",1,34051.637566499354
Zamora-Wallace,2,11351.815726610319
Thompson-Walton,1,21365.523767038278
"Patrick and Guerrero, Garcia",1,29173.609537336484
"Daniels and Contreras Howell,",1,33806.112118512676
"and Stevens Fernandez, Davis",1,9574.72108486573
"Perez Jackson and Jones,",1,30090.300520861838
"and Gonzales Baker, Young",1,21288.06903031413
Carter-Dawson,1,18617.134133427488
Osborn-Brown,1,35438.979535866325
"Ruiz Burton and Sanford,",1,8867.103795597268
Pierce-Kennedy,1,47905.26342170222
"Cisneros Phillips and Rivera,",1,20589.953671947354
"Johnson, and Harrison Lee",1,47754.96365918261
Lawrence-Johnson,2,43356.09687147753
Morrison Sons and,2,39522.71985497939
and Cooper Sons,2,58361.963524213344
King-Greer,1,42210.05885842901
"Cooper, and Burgess Saunders",1,12747.13326298186
"Wilson, and Smith Cox",1,25488.95537104325
"Ballard and Pearson, Nelson",1,23946.11023608005
"Walker, and Wolfe Lynch",1,29717.589778753845
"Montoya Lyons, and Cole",1,16622.266173963675
"Sharp Wright and Williams,",1,3849.449900317434
"and Mueller Thompson, Abbott",1,27551.63429286546
Inc Mcdonald,4,131078.81539012646
Holt-Rangel,2,99204.76723881828
"and Mullins Burns, Fry",2,9606.551220818932
"and Adams Hunt Bennett,",1,41157.17990606897
Schmidt-Warren,1,1445.4119280087928
Irwin-Howard,1,4424.23100638929
"Martin, Hayes and Walker",1,37686.87852945931
"King, and Hernandez Garner",1,15985.730365350077
Lawrence-Perkins,1,13380.213256407444
"and Moore, Johnson Curry",2,51231.77333279394
"Acosta, and Young Morrow",1,1857.4823482161926
Tapia-Cole,1,23156.28586320265
Owens-Vasquez,1,29455.56976543612
White-Fry,1,28640.883406999026
Anderson-Mckee,1,12344.454618935008
"Calderon Ramirez, and Roberts",1,46671.784582499975
"Ramirez and Wells Burton,",1,21930.785291278695
"Espinoza, Wyatt and Oneill",1,45423.44576041915
Lee-Lee,1,25565.766154428526
"Brown Williams Johnson, and",1,9623.503282413867
"Hill, Campbell Crawford and",1,40006.45058373269
"Johnson Ramirez, Farmer and",1,13415.124416083538
Colon-Kent,2,84643.18673916762
"Cabrera King, Henderson and",1,39892.600026202505
"Dunn and Brooks Allen,",1,39146.73638570271
Kennedy-Vance,2,33464.88070901793
Chandler-Carey,1,20077.685445770447
Murray-Browning,1,9945.238953093727
Clark-Hubbard,1,13784.79379719934
Gillespie-Rogers,1,34846.25312821478
Bautista-Moore,1,15077.325567304844
"and White, Pena Lane",1,24764.739462603964
"and Franco Warner Gibson,",1,14755.545376172184
Randall-Miles,2,23018.41355770538
Hoover LLC,4,149680.206425389
Cohen and Sons,1,26608.190283118805
"Alexander, Baker Howell and",1,27182.701381702867
Schultz PLC,3,66105.04302098055
Ryan-Crosby,1,44067.42518319981
Phelps-Phillips,1,8567.8979949975
"and Duran Castaneda Sanders,",1,16568.234121711466
"Harrison Bailey, and Mendoza",1,2627.086562123744
Oconnell Ltd,1,11696.582711628485
"and Wood, Ryan Lopez",1,44179.641992985096
"Pena, and Miranda Walter",1,21593.011354507456
Group Browning,1,8759.833104559171
"Terrell and Campbell, Parker",1,7397.176211263673
Lee-Chapman,1,4569.306247880713
Lawson-Russell,1,16159.403568281283
Wheeler-Ibarra,1,4397.130274916788
Esparza-Stewart,1,43262.84287441666
"Day, Wilson Hunt and",1,13275.294446264708
"Snow and Taylor, Anderson",1,33941.43669805673
"and Johnson Nelson Berg,",2,92365.33143998563
"Munoz, Ramirez and Morrow",1,11125.409876453441
Sutton Ltd,1,8927.980299742037
Dodson Ltd,1,37084.955255957255
"Scott, and Mcmahon Ball",2,83298.37230246616
"Turner Young, and Mendoza",1,25419.32145244536
Garcia-Rivera,2,81136.86239795806
"Jackson Jackson Cooley, and",1,10683.233172866276
Moore-Martinez,1,4938.099510797931
Carey-Adams,1,4911.142968193428
Murphy-Bray,1,42350.69305150765
Hawkins Inc,2,93088.74784055636
"and Keith Barnes, Spencer",1,33615.164546046624
"Green, Lopez Gonzalez and",1,41977.249835321534
"Osborne Smith, Young and",1,386.860477626029
Green-Luna,1,47171.84640338249
"and Clark Maddox Hamilton,",1,15586.752818646488
"Schmidt Long, and Romero",1,46127.346616703595
"Chaney and Moon Shields,",1,43768.47711462125
LLC Harrison,2,81173.53773297658
"Reynolds Salazar, and Adkins",1,30782.036591224212
"and Allen, Zavala Collins",1,12926.661944796342
Williams-Haynes,1,34050.443161366995
Hardy Inc,1,7858.926859946798
Group Lopez,11,240343.78023130994
"and Conway George, Huff",1,7235.190690187703
Hernandez PLC,12,305878.35851112765
Rowland-Abbott,1,47734.98787070838
Cook-Fischer,1,18598.20178472179
"and Patel Owens Dominguez,",1,41515.259304236046
Newman-Martinez,2,62576.01639333565
"Beck, Malone Braun and",1,7812.263324965218
"and Wright, Fletcher King",1,7284.74419426006
Mclean-Levy,1,9177.024160659332
Little PLC,2,41130.37525651134
West-Wise,1,8655.503460602702
Perez Inc,6,67577.50774828251
"Miller, Nicholson Ortega and",1,30297.640465531622
Rasmussen-Huynh,2,41936.38491546813
"Clark, and Estes Thomas",2,53773.31041346342
Underwood Group,1,25415.53042048031
Group Cannon,3,101557.46188250289
"Garcia Moreno and Edwards,",1,8019.0569855496915
Parker-Ramsey,1,4868.956818046069
Stephens-Williams,1,35259.23966639792
Esparza-Bennett,1,33670.600738292036
"Reynolds and Underwood, Davis",1,42615.145113721344
"Hall Lee, Cantu and",1,44031.85965650343
Hull PLC,3,91964.38937007297
Williams-Todd,1,40047.872350365724
Bell-Jimenez,2,45142.99400551418
"and Anderson Williams Harrison,",1,44514.944174045166
Byrd-Parsons,1,19350.55109844679
Ross-Lopez,1,45372.65743901295
Group Walter,1,46153.53810718414
PLC Patel,1,32694.28915447582
"Walker Jensen, and Hernandez",1,31124.999112613204
"Lawson Werner Johnson, and",1,8643.476592458375
"Cooper Rosales and Rose,",1,31737.4653402092
"Sutton, Oliver and Howe",1,13616.035471230272
Henson-Johnson,2,48458.85134622721
"and Arellano Parks Meyer,",2,25446.62716719218
"Burns, Morrow and Steele",1,37410.78547358391
Santana Group,1,11609.775180195364
Nguyen-Forbes,1,19391.92061786833
"Brown, Mayo Garcia and",1,3619.0954317299847
"and Stewart Burton, Skinner",1,5356.842228453821
"and Anderson, Smith Carr",1,26448.169307727916
"Casey and Martin, Burke",2,28285.09718607845
Hicks Group,1,24254.128766913458
Richardson-Thompson,2,42632.85507465082
"Norton, Poole and Sanchez",1,15537.126048310334
Mcmillan-Gonzales,1,8211.886413867043
Gray-Rios,1,38257.26497635963
"Mcmillan, Choi Carpenter and",1,29602.57769131929
Group Flores,5,111610.89556721706
"Gilbert, Morgan and Bowman",1,26641.68101027124
Roman Group,1,47038.24017454801
Gregory-Frank,1,48453.42899732016
"and Perez, Hernandez Gonzalez",1,20317.056436991053
"Prince and Allen, Brady",1,18972.781003925407
Riggs LLC,1,14164.29585369851
"Anderson Moore and Hill,",1,29895.473993097217
"Velasquez, Hansen Bennett and",1,9413.753235726545
"and Calderon Cooke Bullock,",1,47636.22956868719
Mooney-Scott,1,24583.653599322417
Henderson-Stephens,1,29819.162903090608
Garcia-Payne,1,37194.30591799747
"Taylor, Williams and Zavala",1,45408.02295528977
"Gonzalez and Larson Jenkins,",1,12339.799776426022
"and Jimenez, Jenkins Patton",2,82428.66393451868
"Henderson, Lawrence and Gates",1,12901.237346370312
Jenkins-Charles,1,23665.139087782645
Mcintyre-Hill,2,25568.93151921506
Davis-Wilson,1,25313.05646315483
Wallace Inc,2,45204.54999420386
"Lopez Obrien, and Jones",1,35474.652536388305
"Spencer, and Dennis Perez",1,24121.309341716198
"Erickson Young and Jackson,",1,30204.70838951148
Stevenson-Wilson,1,13448.735206625652
Alvarez-Rogers,1,46403.06755918287
Garcia-Jones,1,43579.9078706298
"Burgess and Campbell, Richards",1,11515.47826493336
"Williams and Chandler Davis,",1,12573.74310770282
"Fisher, and White Woods",1,32486.489704083186
"Webster Barnett Thomas, and",1,40556.66527896747
"Fuller and Jarvis Huynh,",1,12712.407318266838
"Miles Berry, Gutierrez and",1,45618.05578018084
"and Scott, Ryan King",1,38434.58235126276
Thompson-Washington,1,19567.407299197705
Estrada-Marshall,1,40174.55957985009
Walsh PLC,3,107794.30995145292
"Hampton, Henry and Holden",1,9481.521810218657
"Cooley, Singh and Wall",1,49412.57425371798
Reeves-Sullivan,1,33627.664167901145
Wilkinson-Harper,1,40217.44823976193
Harrington-Meyer,1,10489.7406993684
Rodriguez-Wilson,2,63943.469246374225
Miller-Hernandez,2,21393.65759511865
Whitehead-Munoz,1,27383.576890477518
Sullivan-Burke,1,12909.927991866984
Heath PLC,2,58015.459488213266
Burke-Taylor,1,2438.3667181332125
Group Flowers,1,39327.295509304655
Greene-Perez,1,18680.811428836958
LLC Leon,1,3172.8460425304365
Taylor-Robertson,1,4363.651470047154
"Powers Sanders Brown, and",1,1267.0693604218643
"Livingston Vaughn, Lynch and",1,15382.91202146416
"Holmes, Randall and Coffey",1,32340.868876747434
"and Nguyen Ortega Harris,",2,61039.64009963355
Brown-Griffith,1,16468.17591333449
"Brooks and Whitaker, Jones",1,22814.16413380707
Hoffman-Owen,1,2480.051358657822
"Valdez, Gonzalez Barr and",1,12226.833154775852
"Solomon Lee, and James",1,17496.613465528877
Smith-Vincent,1,10287.382699489217
"Martin Keith Boyd, and",1,7245.144736661599
"and Martinez, Flores Rasmussen",2,47946.60331166912
Morgan LLC,3,108803.03217266509
and Small Sons,1,7764.123627896717
Sons and Reynolds,1,7878.185227263111
"Sanchez and Clark, Walker",1,10967.959923947095
"and Myers Collins, Griffin",1,15352.188321985785
"Ruiz, and King Lee",1,5899.509339381452
"Zamora Pierce and Baker,",1,8462.798300125021
Keith-Potter,1,19585.995048066354
Moon-Sexton,1,18537.91275694743
Schwartz-Blankenship,1,2442.122520237592
Moyer-Lee,1,27270.030113083252
"Moody, and Holland Kennedy",1,47136.17104493282
"Conley Jackson, and Hill",1,20886.342148398853
Frazier Group,1,32539.950361802086
Clarke-Berry,1,39056.07951695592
Reyes-Martin,1,9051.114783676425
"Becker Cruz, and Alvarez",1,6096.659021123588
Smith-Escobar,1,44942.99567242175
Norris-Chavez,1,29837.462966184314
"and Weaver Gregory, Murphy",1,48719.5472386198
Harrison-Valenzuela,1,14622.042802191452
Sons Obrien and,1,9443.607631800405
"Hodge and Underwood, Williams",1,43493.55264649059
"and Harris Wang, Clark",2,87649.31980707719
Dennis-Wallace,1,44516.65183152018
Young-Evans,1,13628.081415802846
"and Curtis Jones, Skinner",1,38759.53244380084
"Santiago Mcfarland, and Garcia",1,9633.97768614064
"and Frank Hoover Castillo,",1,22884.369799914304
"and Parker, Giles Moses",1,30502.403103513043
"Jackson Banks, and Phillips",2,88475.341823814
Christensen-Barker,1,48819.67387646787
"and Roberson Lewis, Brown",1,29051.41674587666
"Taylor, Jordan Ochoa and",1,30673.706173524497
Fox-Howard,1,36847.9107986033
"Collins Adams and Morales,",1,50075.179582788536
Sons and Rush,1,32563.77738597328
Padilla Inc,2,62740.30580866962
"and Tucker Wright, Best",1,10208.42610992394
"Archer and Ferguson, Hayes",1,42073.84081500663
"Elliott Everett, Ruiz and",2,55539.60837922493
Carpenter-Stanton,1,24506.100439013946
Casey Inc,1,14538.410517084718
Group Doyle,2,79907.70052218324
"and Mckay, Morrow Myers",1,9609.522307149366
"Hayes Robbins and Gallagher,",2,61125.13525040084
Christian-Hall,1,34510.884904131046
Castaneda-Tran,1,37905.955178324264
Hickman Group,1,5164.553856335374
"and Carroll Orr Kelly,",1,42434.776861682854
LLC Allen,8,201153.5603227303
Anderson-Miller,2,59420.939455375235
"King Weiss, and West",1,42829.63252472385
Sheppard-Rivera,1,15501.653530600915
Sons Lam and,1,29083.34115979853
Macdonald Group,2,88712.60311445157
Bentley Ltd,1,36572.084376112114
"and Wright, Coffey Eaton",1,8920.640117692266
Reed-Guzman,1,43317.62042303469
and Sons Lane,1,44218.037233803094
Smith-Obrien,3,105912.95846354848
Stein-Campbell,1,7731.51012420524
"Johnson and Hale Durham,",1,13461.80725128057
"Avila Washington, Burton and",1,36156.671337586464
Taylor-Flynn,1,37194.551277411556
"Scott Vasquez Ray, and",1,13234.077265027572
"Griffin, Williams and Rivera",1,45920.09805713534
"Rose, and Mcdowell King",1,34791.379450245
"Rodriguez Bush, and Shaw",1,37478.32460765728
Nichols-Garrison,1,33804.201118474
Peters-Randolph,1,18635.357186347646
"Weaver and Burch, Sanders",1,39089.86555234056
Garrett Ltd,4,116283.03540260538
"and Cunningham Martinez, Jones",1,28480.32901664497
Montes Ltd,3,53516.157300782594
"Guzman, and Krause Gray",1,29194.69015576407
May LLC,4,84646.03587336736
"Smith, Ortiz and Sanchez",1,33891.65665545992
Ltd Finley,2,9662.765400071494
Hood LLC,2,61340.95002462059
Ayers Group,2,42229.88577064077
Alexander-George,1,10320.157374724855
"Robertson, and Phillips Hopkins",1,32034.81278199931
"Byrd, Brooks Harris and",1,4354.305929652944
Reed-Mann,3,123868.50116098739
Esparza Ltd,1,2155.8349907652114
Boone-Miller,1,13466.487788587428
"Pineda Maxwell and Vincent,",1,8458.875943419032
"Erickson, and Evans Bartlett",1,1440.3845534293996
Ingram-Fields,1,30859.220407076486
LLC Parks,2,51821.813355298524
Mcintosh-Wilson,2,45237.00925830526
"Johnson Lindsey Evans, and",1,10645.07219887504
"and Hancock, Long Rodriguez",1,19695.660129025408
Chang Group,3,102320.90016614704
"Wells Cohen, Foley and",1,6907.832456056351
"Ramos and Martinez, Benson",1,21319.300290121377
"and Hernandez Dunlap Barnett,",1,16587.21791359793
"Edwards, Stewart King and",1,36262.33571168767
Sons Griffin and,1,13202.033455532219
Moore-Cox,2,8641.636960085656
Alexander-Howard,2,52795.72009082584
Sparks-Garcia,1,11613.87706747961
Perry Group,7,165735.33508241383
Wright Ltd,5,183391.75699423952
"Maldonado Stein, Knapp and",1,19799.300553718684
"Lamb Mckee and Garcia,",1,31489.984615807527
"and Carpenter Vasquez Leach,",1,20481.09113716866
Dawson-Bryant,1,11514.199981209698
"Hamilton and Hansen Carrillo,",1,39356.69358108828
Parker-Clayton,1,44193.27484278742
Thomas-Norris,1,12452.389048076506
"Rogers, and Hess Ramos",1,9418.077272974344
"Johnson Parker, Smith and",1,17111.725607662815
"Simpson Reyes Carrillo, and",2,43208.84320400973
"Cox Fox, Andrews and",1,3365.141724742987
Barnes-Day,1,29409.661852020312
Green-Miller,3,69374.3203192327
Green-Ellis,2,63553.91133001496
Cummings-Wilson,1,21368.427946387284
"Rasmussen and Johnson, Anderson",1,10806.050186809052
Jenkins-Sanders,1,10940.392839341297
Haney-Moore,1,47361.127275234096
Williams-Williams,2,35824.75118509463
Hayes-Gibson,1,34363.10064007634
Callahan-Turner,1,43668.54310187334
and Lynch Sons,3,88261.8528223561
Hawkins PLC,2,70920.78795638484
"and Wang, Jackson David",1,20763.896487250608
"Lopez, and Mcclure Parsons",1,2290.2099827446996
LLC Stanley,1,29534.535588381856
"Werner Sullivan, and Dixon",1,31229.772724040038
"Williams, and Graves Moore",1,8977.678660924379
Levine-Khan,1,46441.13210329859
Weaver-Rodgers,1,9588.469874456332
Arnold Inc,3,121278.82883638047
"Armstrong Foster Lynch, and",1,38856.83923440952
Griffith-Walton,1,41985.111736773506
"Garcia Simmons and Harrison,",1,29872.66316506511
Drake-Jones,1,47934.986646026075
and Sons Chapman,1,1789.9041510236193
Simmons-Gardner,1,46106.10866446835
Sons and Hall,3,73765.97661185716
"Frank and Klein Miller,",2,87875.12591677227
Woods-Crawford,1,25295.74955843343
Lopez-Mosley,2,49929.092084806376
Lloyd-Lewis,1,19275.670543513173
Perez-Sutton,2,69543.2247999375
"and Johnson Johnson Todd,",1,18008.64129394885
"Roberts Hogan, and Kim",1,46481.45229528411
"Booker, Flores and Salinas",1,37876.041680867194
Sons and Poole,1,17481.3976363229
"Wilson, and Little Sanders",2,66962.34468725957
Kim-Henderson,1,47612.62558624227
"Lee Collier, and Browning",1,40917.198318050316
Russell-Reynolds,2,74890.19859264766
Long-Jimenez,1,12659.90829405175
"Fox and Rivera Smith,",1,35307.034867489965
PLC Gardner,1,19942.66170690199
Mendez-Shelton,1,46784.963851201945
"and Harrell, Webb Moore",1,19550.982899171035
"Townsend Cochran, Anderson and",1,48506.10235366471
LLC Carr,1,25208.46025908709
"Melendez and Gray Williams,",1,15765.860148468142
Tyler and Sons,1,12949.423876670215
"Barrett Williams and Ball,",1,22562.869997409085
"Short and Calderon Brown,",1,20802.85759036123
"Goodwin, and Nguyen Lewis",1,34730.221165128394
Carlson-Roman,1,44086.063140711885
Sons Scott and,1,47608.574026792136
Harris-Ortiz,2,84997.05245692865
Garcia-Chavez,1,33993.54898271465
West-Atkinson,1,36213.65398733333
PLC Campos,1,36688.00818796732
Mueller-Huerta,1,25677.06458991776
"Russell, Obrien Smith and",1,17026.534623541407
Alvarez Inc,1,45577.57158371121
"Garcia, and Richmond Hudson",1,10778.493222807929
Chang Inc,1,24706.996417756323
"Rodriguez Williams, Leonard and",1,16797.640403549693
"Davis Scott and Sanchez,",1,29895.126830659694
Hill-Adams,2,89903.32022674318
Welch-Burns,1,28314.91162283931
"Brown Harris, and Miller",1,12778.611004821756
LLC Pena,1,11687.777177180833
Montoya-Kelly,2,93249.32376708776
"Warner Franklin, and Bonilla",1,45308.54479125258
"Wells, and Sheppard Martinez",1,9294.63825940086
and Sons Gordon,1,31044.315313933006
"and Dixon Bennett, Shaw",1,4522.2548494081275
"Wallace and Newton, Nelson",1,22182.217981670623
"Marshall Hall, and Hanson",1,3114.80414775958
Morales-Adams,1,31940.726913629944
Vega-Wilkerson,2,72221.07047956444
and Lin Sons,1,25724.44121087574
LLC Torres,4,115882.26018916634
"Brown Mccall, and Brandt",1,22723.289312859048
"Wilson, Leonard Yang and",1,23333.64931996284
Barnes-Mayer,1,30818.83367781211
Cantu-Berry,1,48175.466116807904
Scott Ltd,6,111148.22572559534
Sons Wilson and,5,140719.55256902386
"Burch, Moore and Thompson",1,11921.659510698162
Group Anderson,13,347369.3276401358
"Miller Massey Lopez, and",1,20508.588956594478
Sons and Chapman,3,85874.70153672887
Mathews-Lawrence,1,45019.02631325966
Inc Mcbride,3,86818.56547022575
"and Johnson Wright Carter,",1,14657.573294090143
Olsen LLC,4,74364.54063127609
"and Shields Williams, James",1,49241.690582777286
Reed-Gibson,1,40313.37340186948
Smith Inc,34,778432.3775641555
"Jimenez, and Miller Perry",1,36677.19663727958
Roth-Stephenson,1,39493.66582997144
"and Browning, Dawson George",1,42862.28144647886
Brown-Taylor,1,44089.55073575097
"Smith, and Davis Cain",1,49727.66858963937
Macdonald-Johnson,1,50218.087641226026
Gould-Lyons,2,30214.65208061841
"Pitts, and Rogers Jenkins",1,20678.48188316567
Beasley-Cain,1,16803.222028580883
Jones-Griffin,3,39862.54647285384
Moreno-Lam,2,35646.2485200547
"and Hendricks Page Li,",1,21060.57805884831
Leach PLC,2,69324.58225645096
Schultz-Taylor,1,25268.994502184603
Williams-Jimenez,1,15343.254324461186
Mejia-Haney,1,38122.78358519189
Ltd Beard,2,61198.14365933364
"King and Lee, Hester",1,40242.89476682559
Owen LLC,1,27418.27810129424
Henry Sons and,3,54610.86806734435
"Perkins and Nelson Ellis,",1,31582.16718750555
"Moore and Lara Jones,",1,11503.300993363911
Inc Watson,3,70571.90940822472
PLC Rogers,3,118649.10682055706
Blankenship-Scott,1,22374.22969273752
